Club,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Manchester United,89,64,70,66,69,81,66,66,74,58,0
Manchester City,78,86,79,66,78,100,98,81,86,93,0
Chelsea,75,82,87,50,93,70,72,66,67,74,0
Arsenal,73,79,75,71,75,63,70,56,61,69,0
Tottenham Hotspur,72,69,64,70,86,77,71,59,62,71,0
Everton,63,72,47,47,61,49,54,49,59,39,0
Liverpool,61,84,62,60,76,75,97,99,69,92,0
West Ham United,46,40,47,62,45,42,52,39,65,56,0
Southampton,41,56,60,63,46,36,39,52,43,40,0
Newcastle United,41,49,39,37,0,44,45,44,45,49,0
Crystal Palace,0,45,48,42,41,44,49,43,44,48,0
Leicester City,0,0,41,81,44,47,52,62,66,52,0
West Bromwich Albion,49,36,44,43,45,31,0,0,26,0,0
Aston Villa,41,38,38,17,0,0,0,35,55,45,0
Burnley,0,0,33,0,40,54,40,54,39,35,0
Swansea City,46,42,56,47,41,33,0,0,0,0,0
Stoke City,42,50,54,51,44,33,0,0,0,0,0
Watford,0,0,0,45,40,41,50,34,0,23,0
Norwich City,44,33,0,34,0,0,0,21,0,22,0
Sunderland,39,38,38,39,24,0,0,0,0,0,0
Bournemouth,0,0,0,42,46,44,45,34,0,0,0
Brighton & Hove Albion,0,0,0,0,0,40,36,41,41,51,0
Fulham,43,32,0,0,0,0,26,0,28,0,0
Wolverhampton Wanderers,0,0,0,0,0,0,57,59,45,51,0
Hull City,0,37,35,0,34,0,0,0,0,0,0
